ປັບປຸງສຸຂະພາບກາຍ,Improved physical health,ນຳສົ່ງສຸກສາລາ,Referral to Community health center,ກວດກາເບິ່ງຄວາມພ້ອມດ້ານບໍລິການ ແລະ ກຳນົດການນັດໝາຍ,Check availability of service and schedule of appointments,,
ປັບປຸງສຸຂະພາບກາຍ,Improved physical health,ນຳສົ່ງສຸກສາລາ,Referral to Community health center,ຂໍຄວາມຍິນຍອມຈາກຄົນເຈັບ ແລະ ຄອບຄົວເພື່ອນຳສົ່ງຄົນເຈັບ,Get informed consent from caregiver and the family for referral,,
ປັບປຸງສຸຂະພາບກາຍ,Improved physical health,ນຳສົ່ງສຸກສາລາ,Referral to Community health center,ຈັດກຽມການສົ່ງຕໍ່ໄປຍັງສະຖານບໍລິການປິ່ນປົວ,Organize the referral to the health facility,,
ປັບປຸງສຸຂະພາບກາຍ,Improved physical health,ນຳສົ່ງສຸກສາລາ,Referral to Community health center,ຖ້າຈໍາເປັນ​ໃຫ້ສະໜັບສະໜູນທາງດ້ານການເງິນສໍາລັບການເດີນທາງ ແລະ ຄ່າໃຊ້ຈ່າຍດ້ານການແພດຕ່າງໆ,If needed provide financial support for transportation and for medical expenses,,
ປັບປຸງສຸຂະພາບກາຍ,Improved physical health,ນຳສົ່ງສຸກສາລາ,Referral to Community health center,ຢືນຢັນການເຂົ້າຮ່ວມການປຶກສາຫາລືດ້ານການແພດ ແລະ ການປິ່ນປົວທີ່ໄດ້ຮັບຈາກສະຖານບໍລິການປິ່ນປົວ,Confirm attendance at medical consultation and any treatment received from the health facility ,CHI3MTc,HI-3 
ປັບປຸງສຸຂະພາບກາຍ,Improved physical health,ນຳສົ່ງສຸກສາລາ,Referral to Community health center,ຢືນຢັນການຮັບ ຫຼື ການຊື້ຢາປົວພະຍາດ,"Confirm receipt of, or purchase of medications",,
ປັບປຸງສຸຂະພາບກາຍ,Improved physical health,ນຳສົ່ງສຸກສາລາ,Referral to Community health center,ຂໍຄວາມຍິນຍອມຈາກຜູ້ເບິ່ງແຍງຄົນເຈັບ ແລະ ຄອບຄົວເພື່ອນຳສົ່ງຄົນເຈັບ,Encourage correct use of any medication prescribed by doctor,,
ປັບປຸງສຸຂະພາບກາຍ,Improved physical health,ນຳສົ່ງສຸກສາລາ,Referral to Community health center,ຂຽນແບບຟອມນຳສົ່ງຄົນເຈັບດ້ວຍຂໍ້ມູນລະອຽດກ່ຽວກັບຜູ້ໃຫ້ບໍລິການດ້ານສຸຂະພາບ ແລະ ສະຖານທີ່ຕັ້ງຂອງໂຮງໝໍ,Monitor correct use of medication with the doctor,,
ປັບປຸງສຸຂະພາບກາຍ,Improved physical health,ນຳສົ່ງໂຮງໝໍເມືອງ,Referral to District hospital,ຖ້າຈຳເປັນຕ້ອງສະໜັບສະຫນູນທາງດ້ານການເງິນສຳລັບການເດີນທາງ ແລະ ຂໍ້ມູນກ່ຽວກັບລະບົບ ປະກັນສຸຂະພາບແຫ່ງຊາດສໍາລັບໃຊ້ຈ່າຍດ້ານການແພດ,Check availability of service and schedule of appointments,,
ປັບປຸງສຸຂະພາບກາຍ,Improved physical health,ນຳສົ່ງໂຮງໝໍເມືອງ,Referral to District hospital,ກວດກາກັບໂຮງໝໍ ວ່າຜູ້ເບິ່ງແຍງຄົນເຈັບໄດ້ຮັບຄຳປຶກສາຢ່າງມີປະສິດທິພາບ,Get informed consent from caregiver and the family for referral,,
